Id,equityValuation,AverageSimilarStartupValuation,roundInvestment,city,Assets,AverageFounderTeamAgeFunding,DIPP,FilterFounderNumFounder,PAT,Revenue,SumOfCharges,EducationAbsolute,ExperienceAbsolute,Incubator/Accelerator,AI and ML,Adtech,Agritech and Farming,Apps,Biotech,Business Support Services,Clean-Tech,Clothing and Apparel,Commerce and Shopping,Community and Lifestyle,Consumer Electronics,Consumer Products,Consumer Services,Content and Publishing,Data and Analytics,Defence-Tech,Design,Edu-Tech,Energy,Events and Concerts,Fin-Tech,Food and Beverage,Game-Tech,Government,Hardware and Technology,Health-Tech,Information Technology,Internet Services,Manufacturing,Media and Entertainment,Messaging and Communications,Metaverse,Mobile,Music and Audio,Natural Resources,Navigation and Mapping,Others,Payments,Platforms,Privacy and Security,Professional Services,Real Estate,Sales and Marketing,Science and Engineering,Software,Sports,Transportation and Logistics,Travel and Tourism,Video,Web 3.0,current_age,funding_age,predicted_capital,predicted_rating,RatioWomenFounders,FounderDiversity,IndianInvestors,InternationalInvestors,IndianFunds,InternationalFunds,RegularInvestor,RegularFund,Num Deals,Deal Value Growth
3767,152.4,420.9,25.4,1,Upto ₹50 Million,26.0,Yes,3.0,Negative Profits,₹10 - ₹50 Million,0.0,6.300000000000001,73.5,No,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.909095465771911,1.646575342465753,14.29713242009132,0.5565888481574378,0.0,0.5,0,0,0,1,No,No,510.0,-0.445
1408,240.0,500.94,35.1,1,Upto ₹50 Million,31.0,Yes,2.0,Negative Profits,₹10 - ₹50 Million,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.372109163140792,1.063013698630137,11.37424657534247,,0.0,0.0,2,0,1,0,No,No,453.0,0.252
2776,2880.0,,1008.0,1,Unknown,41.0,Yes,1.0,Negative Profits,₹10 - ₹50 Million,0.0,0.0,0.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.826903684417491,4.64931506849315,,39.27851338365177,0.0,0.0,0,0,1,2,No,Yes,,
3341,616.8,351.5,105.0,1,Upto ₹50 Million,32.0,Yes,3.0,Negative Profits,₹50 - ₹100 Million,0.0,0.0,0.0,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.141972177874397,3.964383561643836,47.24868884540118,0.3375113397040848,0.0,0.0,0,0,1,0,No,No,453.0,0.252
1117,259.1,,62.8,1,Upto ₹50 Million,,Yes,2.0,Negative Profits,Upto ₹10 Million,0.0,0.0,0.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.194026971204591,4.512328767123288,10.65581213307241,,0.0,0.0,0,0,1,1,No,Yes,,
1518,410.4,,150.0,1,₹50 - ₹250 Million,46.0,No,2.0,Negative Profits,₹50 - ₹100 Million,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.637862587854896,6.506849315068493,33.03776908023484,,0.5,0.0,1,1,1,2,No,No,453.0,0.252
2861,968.4,65.0,315.0,1,₹50 - ₹250 Million,38.0,Yes,2.0,Negative Profits,₹50 - ₹100 Million,178100000.0,0.0,0.0,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.17758861597051,2.495890410958904,126.2272015655577,94.1534829495776,0.5,1.0,0,0,1,1,No,No,612.0,-0.169
3342,880.8,,100.0,1,Unknown,,Yes,2.0,₹10 - ₹50 Million,₹100 - ₹500 Million,295200000.0,35.5,91.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,12.2789584792448,8.178082191780822,,2.196282436911968,0.0,0.0,0,0,0,1,No,No,,
1042,439.4,50178.99,93.6,1,More than ₹1000 Million,40.0,No,1.0,Negative Profits,More than ₹500 Million,0.0,15.0,126.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.484437930066908,0.5095890410958904,-1229.079771689498,,0.0,0.0,0,0,1,1,No,Yes,,
2299,765411.6,,41832.1,2,More than ₹1000 Million,,No,2.0,₹100 - ₹500 Million,Unknown,4178911111.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.35567080745066,8.509589041095891,55.20413920770086,1.257939249553306,0.0,1.0,0,0,0,7,No,No,453.0,0.252
1768,44.9,411.29,9.8,1,Unknown,27.0,No,3.0,Negative Profits,Upto ₹10 Million,0.0,18.8,94.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6.613205053737887,-0.6356164383561644,,-0.06934504180033368,0.0,0.5,0,0,1,0,No,No,,
3197,6806.8,400.32,400.0,1,Unknown,,No,2.0,Negative Profits,More than ₹500 Million,148324616.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.77210916409938,7.758904109589041,1.652703196347032,,0.0,0.0,0,0,1,1,No,No,453.0,0.252
808,154.8,477.1,34.8,1,₹250 - ₹500 Million,38.0,Yes,2.0,Negative Profits,₹100 - ₹500 Million,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3.689917381995973,0.2301369863013699,-11.07018264840183,,0.5,1.0,3,1,1,0,No,Yes,,
1776,6918.6,1500.0,650.5,1,₹500 - ₹1000 Million,52.0,No,2.0,Negative Profits,Unknown,169200000.0,30.3,278.25,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.999506423605213,4.909589041095891,26.06817025440313,9.327456769778358,0.0,1.0,0,0,2,0,No,No,510.0,-0.445
2165,344.6,,33.1,1,Unknown,28.0,No,2.0,Negative Profits,₹10 - ₹50 Million,0.0,0.0,0.0,Yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.54471190326995,5.03013698630137,,0.8374968029709353,0.0,1.0,0,0,0,1,No,No,659.0,0.91
